Team,Season,FG%,3P%,2P%,FT%,PTS
Los Angeles Clippers,2006-2007,0.456,0.348,0.474,0.788,95.6
Indiana Pacers,2006-2007,0.438,0.346,0.462,0.76,95.6
New Orleans/Oklahoma City Hornets,2006-2007,0.445,0.362,0.464,0.74,95.5
Philadelphia 76ers,2006-2007,0.458,0.345,0.474,0.767,94.9
Orlando Magic*,2006-2007,0.472,0.356,0.494,0.702,94.8
Miami Heat*,2006-2007,0.464,0.343,0.503,0.69,94.6
Portland Trail Blazers,2006-2007,0.45,0.346,0.474,0.769,94.1
Atlanta Hawks,2006-2007,0.444,0.329,0.467,0.761,93.7
League Average,2006-2007,0.458,0.358,0.485,0.752,98.7
Phoenix Suns*,2005-2006,0.479,0.399,0.511,0.806,108.4
Seattle SuperSonics,2005-2006,0.459,0.371,0.487,0.785,102.6
Washington Wizards*,2005-2006,0.447,0.357,0.471,0.757,101.7
Toronto Raptors,2005-2006,0.454,0.375,0.479,0.791,101.1
Denver Nuggets*,2005-2006,0.461,0.325,0.487,0.744,100.3
Miami Heat*,2005-2006,0.478,0.345,0.517,0.7,99.9
Los Angeles Lakers*,2005-2006,0.453,0.349,0.486,0.745,99.4
Philadelphia 76ers,2005-2006,0.458,0.364,0.476,0.76,99.4
Dallas Mavericks*,2005-2006,0.462,0.374,0.481,0.783,99.1
Sacramento Kings*,2005-2006,0.454,0.351,0.483,0.784,98.9
Golden State Warriors,2005-2006,0.433,0.341,0.467,0.718,98.5
Boston Celtics,2005-2006,0.467,0.362,0.494,0.755,98
Milwaukee Bucks*,2005-2006,0.453,0.38,0.472,0.738,97.8
Chicago Bulls*,2005-2006,0.446,0.379,0.465,0.738,97.8
Cleveland Cavaliers*,2005-2006,0.454,0.339,0.487,0.729,97.6
Atlanta Hawks,2005-2006,0.454,0.367,0.472,0.75,97.2
Los Angeles Clippers*,2005-2006,0.465,0.344,0.483,0.791,97.2
Charlotte Bobcats,2005-2006,0.433,0.339,0.454,0.729,96.9
Detroit Pistons*,2005-2006,0.455,0.384,0.475,0.727,96.8
New York Knicks,2005-2006,0.455,0.362,0.47,0.726,95.6
San Antonio Spurs*,2005-2006,0.472,0.385,0.496,0.702,95.6
Orlando Magic,2005-2006,0.472,0.376,0.486,0.73,94.9
Indiana Pacers*,2005-2006,0.444,0.349,0.475,0.737,93.9
New Jersey Nets*,2005-2006,0.44,0.33,0.472,0.758,93.8
New Orleans/Oklahoma City Hornets,2005-2006,0.44,0.339,0.457,0.758,92.8
Utah Jazz,2005-2006,0.442,0.336,0.461,0.719,92.4
Memphis Grizzlies*,2005-2006,0.448,0.374,0.474,0.711,92.2
Minnesota Timberwolves,2005-2006,0.456,0.329,0.478,0.758,91.7
Houston Rockets,2005-2006,0.433,0.332,0.463,0.759,90.1
Portland Trail Blazers,2005-2006,0.445,0.349,0.464,0.689,88.8
League Average,2005-2006,0.454,0.358,0.478,0.745,97
Phoenix Suns*,2004-2005,0.477,0.393,0.512,0.748,110.4
Sacramento Kings*,2004-2005,0.459,0.374,0.48,0.787,103.7
Dallas Mavericks*,2004-2005,0.457,0.364,0.479,0.789,102.5
Miami Heat*,2004-2005,0.486,0.377,0.513,0.672,101.5
Boston Celtics*,2004-2005,0.468,0.349,0.496,0.764,101.3
Washington Wizards*,2004-2005,0.437,0.343,0.463,0.725,100.5
Toronto Raptors,2004-2005,0.444,0.385,0.463,0.774,99.7
Denver Nuggets*,2004-2005,0.459,0.34,0.479,0.763,99.5
Orlando Magic,2004-2005,0.454,0.349,0.471,0.759,99.5
Philadelphia 76ers*,2004-2005,0.437,0.348,0.462,0.789,99.1
Seattle SuperSonics*,2004-2005,0.444,0.365,0.474,0.79,98.9
Los Angeles Lakers,2004-2005,0.437,0.355,0.467,0.777,98.7
Golden State Warriors,2004-2005,0.43,0.352,0.457,0.722,98.7
New York Knicks,2004-2005,0.451,0.356,0.473,0.767,97.3
Milwaukee Bucks,2004-2005,0.45,0.351,0.467,0.772,97.2
Minnesota Timberwolves,2004-2005,0.459,0.345,0.483,0.796,96.8
Cleveland Cavaliers,2004-2005,0.447,0.332,0.465,0.752,96.5
San Antonio Spurs*,2004-2005,0.453,0.363,0.478,0.724,96.2
Los Angeles Clippers,2004-2005,0.459,0.345,0.473,0.778,95.7
Houston Rockets*,2004-2005,0.443,0.364,0.468,0.781,95.1
Chicago Bulls*,2004-2005,0.432,0.357,0.453,0.75,94.5
Charlotte Bobcats,2004-2005,0.432,0.363,0.442,0.709,94.3
Memphis Grizzlies*,2004-2005,0.447,0.357,0.475,0.754,93.4
Detroit Pistons*,2004-2005,0.444,0.345,0.463,0.739,93.3
Indiana Pacers*,2004-2005,0.432,0.344,0.463,0.792,93
Utah Jazz,2004-2005,0.449,0.328,0.465,0.757,93
Portland Trail Blazers,2004-2005,0.451,0.362,0.471,0.725,92.9
Atlanta Hawks,2004-2005,0.441,0.312,0.463,0.711,92.7
New Jersey Nets*,2004-2005,0.429,0.362,0.444,0.763,91.4
New Orleans Hornets,2004-2005,0.415,0.315,0.44,0.766,88.4
League Average,2004-2005,0.447,0.356,0.47,0.756,97.2
Dallas Mavericks*,2003-2004,0.459,0.348,0.488,0.796,105.2
Sacramento Kings*,2003-2004,0.462,0.401,0.48,0.795,102.8
Los Angeles Lakers*,2003-2004,0.454,0.327,0.479,0.693,98.2
Milwaukee Bucks*,2003-2004,0.447,0.35,0.467,0.775,98
Denver Nuggets*,2003-2004,0.443,0.336,0.461,0.767,97.2
Seattle SuperSonics,2003-2004,0.446,0.373,0.476,0.765,97.1
Memphis Grizzlies*,2003-2004,0.445,0.34,0.471,0.727,96.7
Boston Celtics*,2003-2004,0.443,0.346,0.475,0.75,95.3
Los Angeles Clippers,2003-2004,0.428,0.321,0.448,0.785,94.8
Minnesota Timberwolves*,2003-2004,0.462,0.363,0.477,0.781,94.5
Phoenix Suns,2003-2004,0.443,0.345,0.465,0.746,94.2
Orlando Magic,2003-2004,0.429,0.344,0.448,0.737,94
Golden State Warriors,2003-2004,0.442,0.334,0.468,0.725,93.3
Cleveland Cavaliers,2003-2004,0.433,0.314,0.448,0.753,92.9
Atlanta Hawks,2003-2004,0.433,0.335,0.456,0.776,92.8
New York Knicks*,2003-2004,0.442,0.364,0.459,0.793,92
New Orleans Hornets*,2003-2004,0.42,0.319,0.454,0.751,91.8
Washington Wizards,2003-2004,0.421,0.341,0.44,0.714,91.8
San Antonio Spurs*,2003-2004,0.442,0.358,0.46,0.681,91.5
Indiana Pacers*,2003-2004,0.435,0.351,0.457,0.764,91.4
Portland Trail Blazers,2003-2004,0.448,0.346,0.469,0.731,90.7
Miami Heat*,2003-2004,0.425,0.357,0.443,0.762,90.3
New Jersey Nets*,2003-2004,0.441,0.336,0.464,0.753,90.3
Detroit Pistons*,2003-2004,0.435,0.344,0.452,0.753,90.1
Houston Rockets*,2003-2004,0.442,0.366,0.464,0.773,89.8
Chicago Bulls,2003-2004,0.414,0.342,0.431,0.725,89.7
Utah Jazz,2003-2004,0.436,0.321,0.453,0.746,88.7
Philadelphia 76ers,2003-2004,0.428,0.342,0.445,0.753,88
Toronto Raptors,2003-2004,0.418,0.356,0.434,0.75,85.4
League Average,2003-2004,0.439,0.347,0.46,0.752,93.4
Dallas Mavericks*,2002-2003,0.453,0.381,0.475,0.829,103
Golden State Warriors,2002-2003,0.441,0.344,0.462,0.778,102.4
Sacramento Kings*,2002-2003,0.464,0.381,0.482,0.746,101.7
Los Angeles Lakers*,2002-2003,0.451,0.356,0.475,0.734,100.4
Milwaukee Bucks*,2002-2003,0.457,0.383,0.478,0.776,99.5
Orlando Magic*,2002-2003,0.436,0.357,0.46,0.777,98.5
Minnesota Timberwolves*,2002-2003,0.466,0.368,0.479,0.77,98.1
Memphis Grizzlies,2002-2003,0.452,0.365,0.473,0.739,97.5
Philadelphia 76ers*,2002-2003,0.448,0.311,0.466,0.775,96.8
Indiana Pacers*,2002-2003,0.441,0.339,0.461,0.766,96.8
New York Knicks,2002-2003,0.441,0.383,0.459,0.815,95.9
San Antonio Spurs*,2002-2003,0.462,0.354,0.489,0.725,95.8
Phoenix Suns*,2002-2003,0.443,0.343,0.464,0.742,95.5
New Jersey Nets*,2002-2003,0.441,0.332,0.462,0.757,95.4
Portland Trail Blazers*,2002-2003,0.46,0.33,0.488,0.745,95.2
Chicago Bulls,2002-2003,0.445,0.35,0.462,0.722,95
Utah Jazz*,2002-2003,0.468,0.349,0.481,0.745,94.7
Atlanta Hawks,2002-2003,0.444,0.352,0.464,0.793,94.1
New Orleans Hornets*,2002-2003,0.435,0.376,0.447,0.768,93.9
Los Angeles Clippers,2002-2003,0.437,0.331,0.46,0.75,93.8
Houston Rockets,2002-2003,0.44,0.346,0.462,0.768,93.8
Boston Celtics*,2002-2003,0.415,0.334,0.455,0.742,92.7
Seattle SuperSonics,2002-2003,0.437,0.353,0.458,0.744,92.1
Washington Wizards,2002-2003,0.44,0.312,0.459,0.779,91.5
Cleveland Cavaliers,2002-2003,0.422,0.327,0.437,0.747,91.4
Detroit Pistons*,2002-2003,0.43,0.358,0.452,0.771,91.4
Toronto Raptors,2002-2003,0.427,0.343,0.446,0.718,90.9
Miami Heat,2002-2003,0.412,0.316,0.432,0.765,85.6
Denver Nuggets,2002-2003,0.411,0.278,0.43,0.699,84.2
League Average,2002-2003,0.442,0.349,0.463,0.758,95.1
Dallas Mavericks*,2001-2002,0.462,0.378,0.488,0.806,105.2
Sacramento Kings*,2001-2002,0.467,0.367,0.486,0.751,104.6
Los Angeles Lakers*,2001-2002,0.461,0.354,0.489,0.699,101.3
Orlando Magic*,2001-2002,0.448,0.373,0.471,0.754,100.5
Minnesota Timberwolves*,2001-2002,0.461,0.378,0.476,0.798,99.3
Seattle SuperSonics*,2001-2002,0.469,0.378,0.49,0.755,97.7
Golden State Warriors,2001-2002,0.429,0.322,0.447,0.722,97.7
Milwaukee Bucks,2001-2002,0.462,0.375,0.49,0.748,97.5
Indiana Pacers*,2001-2002,0.446,0.339,0.47,0.772,96.8
San Antonio Spurs*,2001-2002,0.458,0.362,0.48,0.742,96.7
Portland Trail Blazers*,2001-2002,0.45,0.354,0.474,0.763,96.6
Boston Celtics*,2001-2002,0.424,0.359,0.45,0.764,96.4
New Jersey Nets*,2001-2002,0.446,0.338,0.469,0.735,96.2
Utah Jazz*,2001-2002,0.45,0.333,0.468,0.763,96
Los Angeles Clippers,2001-2002,0.445,0.356,0.464,0.739,95.7
Cleveland Cavaliers,2001-2002,0.448,0.377,0.461,0.772,95.3
Phoenix Suns,2001-2002,0.447,0.327,0.469,0.767,95.1
Detroit Pistons*,2001-2002,0.452,0.376,0.475,0.756,94.3
Atlanta Hawks,2001-2002,0.439,0.354,0.458,0.765,94
Charlotte Hornets*,2001-2002,0.44,0.348,0.456,0.745,93.9
Washington Wizards,2001-2002,0.441,0.388,0.448,0.765,92.8
Houston Rockets,2001-2002,0.428,0.335,0.455,0.741,92.3
Denver Nuggets,2001-2002,0.424,0.329,0.446,0.744,92.2
New York Knicks,2001-2002,0.432,0.353,0.453,0.787,91.6
Toronto Raptors*,2001-2002,0.434,0.349,0.451,0.739,91.4
Philadelphia 76ers*,2001-2002,0.436,0.299,0.453,0.779,91
Memphis Grizzlies,2001-2002,0.436,0.307,0.462,0.708,89.9
Chicago Bulls,2001-2002,0.433,0.346,0.447,0.722,89.5
Miami Heat,2001-2002,0.439,0.347,0.454,0.724,87.2
League Average,2001-2002,0.445,0.354,0.465,0.752,95.5
Sacramento Kings*,2000-2001,0.449,0.354,0.472,0.771,101.7
Milwaukee Bucks*,2000-2001,0.458,0.379,0.48,0.787,100.7
Los Angeles Lakers*,2000-2001,0.465,0.344,0.494,0.683,100.6
Dallas Mavericks*,2000-2001,0.459,0.381,0.479,0.794,100.5
Toronto Raptors*,2000-2001,0.437,0.369,0.451,0.747,97.6
Orlando Magic*,2000-2001,0.438,0.364,0.456,0.714,97.5
Minnesota Timberwolves*,2000-2001,0.458,0.357,0.473,0.785,97.3
Seattle SuperSonics,2000-2001,0.456,0.399,0.468,0.732,97.3
Houston Rockets,2000-2001,0.453,0.357,0.48,0.758,97.2
Utah Jazz*,2000-2001,0.471,0.381,0.485,0.752,97.1
Denver Nuggets,2000-2001,0.433,0.355,0.454,0.737,96.6
San Antonio Spurs*,2000-2001,0.461,0.407,0.472,0.715,96.2
Detroit Pistons,2000-2001,0.424,0.35,0.439,0.721,95.6
Portland Trail Blazers*,2000-2001,0.468,0.349,0.492,0.762,95.4
Philadelphia 76ers*,2000-2001,0.447,0.326,0.464,0.745,94.7
Boston Celtics,2000-2001,0.428,0.363,0.45,0.74,94.6
Phoenix Suns*,2000-2001,0.436,0.315,0.458,0.755,94
Washington Wizards,2000-2001,0.439,0.324,0.456,0.759,93.2
Indiana Pacers*,2000-2001,0.44,0.342,0.461,0.766,92.6
Golden State Warriors,2000-2001,0.409,0.293,0.427,0.706,92.5
Los Angeles Clippers,2000-2001,0.448,0.339,0.469,0.693,92.5
Cleveland Cavaliers,2000-2001,0.442,0.334,0.455,0.765,92.2
New Jersey Nets,2000-2001,0.425,0.333,0.443,0.759,92.1
Charlotte Hornets*,2000-2001,0.431,0.346,0.446,0.745,91.9
Vancouver Grizzlies,2000-2001,0.439,0.343,0.455,0.77,91.7
Atlanta Hawks,2000-2001,0.431,0.357,0.443,0.759,91
Miami Heat*,2000-2001,0.43,0.345,0.455,0.759,88.9
New York Knicks*,2000-2001,0.444,0.351,0.465,0.796,88.7
Chicago Bulls,2000-2001,0.424,0.346,0.438,0.739,87.6
League Average,2000-2001,0.443,0.354,0.461,0.748,94.8
